#source,#target,#rating,#timestamp
6,2,4,2010-11-08 18:45:11
6,5,2,2010-11-08 18:45:41
1,15,1,2010-11-08 19:05:40
4,3,7,2010-11-08 19:41:17
13,16,8,2010-11-08 22:10:54
13,10,8,2010-11-08 22:11:40
7,5,1,2010-11-10 04:18:20
2,21,5,2010-11-10 06:29:16
2,20,5,2010-11-10 06:30:22
21,2,5,2010-11-10 09:23:01
21,1,8,2010-11-11 02:10:11
21,10,8,2010-11-11 02:10:38
21,8,9,2010-11-11 02:10:50
21,3,7,2010-11-11 02:12:05
17,3,5,2010-11-11 02:25:13
17,23,1,2010-11-11 15:34:28
10,1,8,2010-11-12 09:54:16
10,6,7,2010-11-12 09:55:31
10,21,8,2010-11-12 09:55:45
10,8,1,2010-11-12 09:56:07
10,25,10,2010-11-12 09:57:21
10,2,7,2010-11-12 09:57:51
10,3,7,2010-11-12 09:57:55
4,26,1,2010-11-13 09:48:13
26,4,1,2010-11-13 09:48:23
5,1,3,2010-11-13 14:58:18
5,6,3,2010-11-13 14:58:39
5,7,1,2010-11-13 14:59:07
1,5,4,2010-11-14 04:57:23
6,4,2,2010-11-14 21:38:20
4,6,5,2010-11-14 21:39:16
2,4,5,2010-11-14 21:48:23
17,28,1,2010-11-15 15:48:01
17,13,2,2010-11-16 02:09:27
13,17,2,2010-11-16 02:13:31
13,29,2,2010-11-18 13:50:12
29,13,2,2010-11-18 14:21:58
17,20,2,2010-11-18 19:28:06
4,31,1,2010-11-19 20:12:29
31,4,2,2010-11-19 20:12:34
32,6,1,2010-11-21 00:47:21
13,1,8,2010-11-23 13:56:03
7,34,1,2010-11-25 00:20:57
34,7,1,2010-11-25 00:21:17
32,1,1,2010-11-25 06:35:28
1,32,1,2010-11-25 06:35:53
1,34,1,2010-11-26 05:47:14
34,1,1,2010-11-26 06:26:16
34,13,1,2010-11-26 08:04:03
13,34,1,2010-11-26 08:52:36
6,7,5,2010-11-27 02:52:47
7,6,3,2010-11-27 02:56:31
1,17,9,2010-11-28 18:33:56
1,31,2,2010-11-29 17:46:04
31,1,3,2010-11-29 18:39:32
35,6,2,2010-11-29 18:42:54
1,13,3,2010-11-30 04:22:10
36,37,1,2010-11-30 22:57:03
37,36,1,2010-11-30 23:30:45
35,1,1,2010-11-30 23:31:51
17,1,9,2010-12-01 15:38:02
8,1,3,2010-12-02 18:40:32
7,29,2,2010-12-03 11:35:09
1,20,2,2010-12-04 23:27:46
37,44,1,2010-12-05 02:18:48
44,37,1,2010-12-05 02:21:37
39,45,1,2010-12-05 19:54:32
39,7,3,2010-12-05 23:04:34
39,44,1,2010-12-05 23:19:38
44,39,1,2010-12-05 23:20:11
23,17,1,2010-12-06 08:23:01
23,19,1,2010-12-06 08:23:07
36,46,1,2010-12-07 01:16:19
46,36,1,2010-12-07 01:16:52
47,1,2,2010-12-07 16:44:30
13,7,1,2010-12-07 21:23:36
7,13,1,2010-12-07 21:23:51
29,51,1,2010-12-11 12:28:54
51,29,1,2010-12-11 12:42:58
29,52,1,2010-12-11 16:33:56
52,29,1,2010-12-11 16:34:40
45,39,2,2010-12-11 20:26:00
45,53,2,2010-12-12 21:28:26
53,45,2,2010-12-12 21:30:12
45,54,2,2010-12-12 22:43:48
54,45,2,2010-12-12 23:04:22
1,54,1,2010-12-12 23:26:32
54,1,1,2010-12-12 23:26:47
7,3,6,2010-12-13 00:34:22
36,41,2,2010-12-13 02:10:37
41,36,2,2010-12-13 02:11:12
36,21,2,2010-12-14 03:32:52
21,36,2,2010-12-14 03:33:28
7,36,3,2010-12-14 21:13:05
36,7,4,2010-12-14 21:14:58
7,53,4,2010-12-15 19:46:41
53,7,4,2010-12-15 19:47:12
7,55,1,2010-12-15 21:17:37
55,7,1,2010-12-16 09:06:16
29,7,2,2010-12-18 23:49:57
4,57,5,2010-12-19 21:56:58
39,21,2,2010-12-20 04:25:58
