Id,Label,timeset,pageranks,modularity_class
6,,,0.000774,4
2,,,0.000978,4
5,,,0.000093,4
1,,,0.005028,4
15,,,0.000323,4
4,,,0.001289,4
3,,,0.000382,4
13,,,0.004281,10
16,,,0.000052,10
10,,,0.000134,4
7,,,0.005912,4
21,,,0.000644,4
20,,,0.000235,4
8,,,0.000094,4
17,,,0.000425,4
23,,,0.000692,4
25,,,0.002057,10
26,,,0.00037,0
28,,,0.00034,4
29,,,0.000931,4
31,,,0.000072,4
32,,,0.000165,4
34,,,0.000094,4
35,,,0.015023,0
36,,,0.000976,4
37,,,0.000343,4
44,,,0.000107,4
39,,,0.000653,4
45,,,0.000291,4
19,,,0.000267,4
46,,,0.000059,4
47,,,0.000077,4
51,,,0.000673,18
52,,,0.000059,4
53,,,0.000079,4
54,,,0.000268,4
41,,,0.002407,4
55,,,0.000057,4
57,,,0.001487,10
61,,,0.000187,4
65,,,0.000052,0
56,,,0.000159,4
66,,,0.000052,4
69,,,0.000358,4
70,,,0.000152,0
71,,,0.000055,4
72,,,0.000295,4
74,,,0.000055,4
75,,,0.000445,4
68,,,0.000155,4
64,,,0.001654,4
76,,,0.000101,4
77,,,0.000376,4
78,,,0.000252,4
60,,,0.001925,4
79,,,0.000052,0
80,,,0.00042,4
81,,,0.000247,4
62,,,0.00114,4
83,,,0.000055,4
104,,,0.001336,4
86,,,0.000055,4
87,,,0.000078,4
89,,,0.000077,4
94,,,0.000053,4
95,,,0.00021,0
96,,,0.000777,18
97,,,0.000186,4
99,,,0.000078,4
88,,,0.000182,4
101,,,0.000317,4
100,,,0.000215,4
103,,,0.000089,4
105,,,0.000059,4
106,,,0.000051,18
107,,,0.000086,18
108,,,0.000184,4
109,,,0.000187,4
110,,,0.000346,4
111,,,0.000139,4
112,,,0.000332,4
115,,,0.000486,4
114,,,0.000249,4
119,,,0.000123,4
122,,,0.000057,4
127,,,0.000118,4
129,,,0.000151,4
116,,,0.000057,4
131,,,0.00005,4
132,,,0.000954,4
133,,,0.000072,18
113,,,0.000914,4
125,,,0.000207,4
135,,,0.001747,4
134,,,0.000341,4
137,,,0.000077,4
138,,,0.00008,4
140,,,0.000055,4
141,,,0.000539,4
139,,,0.000103,4
142,,,0.000298,4
143,,,0.000526,4
144,,,0.001102,4
145,,,0.000055,4
146,,,0.000431,12
147,,,0.000194,4
148,,,0.000244,4
93,,,0.000331,4
149,,,0.000733,4
150,,,0.000105,4
152,,,0.000384,4
153,,,0.000163,4
154,,,0.000144,4
155,,,0.000081,4
156,,,0.000178,4
157,,,0.000081,4
158,,,0.000102,4
160,,,0.000179,4
161,,,0.000097,4
162,,,0.000081,4
163,,,0.000199,4
165,,,0.000076,4
166,,,0.000393,4
167,,,0.000249,4
168,,,0.000055,4
169,,,0.000083,18
170,,,0.000058,4
171,,,0.001066,4
172,,,0.000061,4
173,,,0.000108,4
174,,,0.000114,10
175,,,0.000057,4
176,,,0.000098,4
177,,,0.000221,4
178,,,0.00088,4
179,,,0.000265,4
180,,,0.000277,4
181,,,0.000162,4
159,,,0.000777,4
182,,,0.000076,4
183,,,0.000107,4
184,,,0.000429,10
185,,,0.000082,4
186,,,0.000318,4
187,,,0.000051,4
33,,,0.000641,18
188,,,0.000079,13
189,,,0.000091,4
190,,,0.000055,4
191,,,0.000133,4
192,,,0.000277,4
193,,,0.000083,4
194,,,0.00015,4
195,,,0.000057,4
196,,,0.000104,4
198,,,0.001513,4
199,,,0.00018,4
200,,,0.000169,4
201,,,0.000161,4
202,,,0.003346,4
203,,,0.000225,4
204,,,0.000809,4
205,,,0.000061,4
206,,,0.000581,4
207,,,0.000181,4
209,,,0.000862,4
210,,,0.000057,4
120,,,0.000197,4
211,,,0.000079,4
212,,,0.000189,4
213,,,0.000061,4
214,,,0.000349,4
215,,,0.001299,18
